Date,FCR-N Pris (EUR/MW),FCR-D upp Pris (EUR/MW),FCR-D ned Pris (EUR/MW),aFRR UP_FI,aFRR DOWN_FI,mFRR UP_FI,mFRR DOWN_FI,,SPOT_FI,Hydro (GWh),,month,year,day
01/01/2024 00:00,40,1.91999,112,0,0,27.5,2,,40.01,,,1,2024,1
01/01/2024 01:00,40,1,112,0,0,27.5,2,,38.37,,,1,2024,1
01/01/2024 02:00,40,1,112,0,0,25,2,,28.46,,,1,2024,1
01/01/2024 03:00,40,1.75,85,0,0,15,2,,26.66,,,1,2024,1
01/01/2024 04:00,40,2.1,85,25,32,10,2,,24.48,,,1,2024,1
01/01/2024 05:00,30,1,66,28,32,10,2,,24.01,,,1,2024,1
01/01/2024 06:00,40,2,56,29,32.7,10,2,,21.23,,,1,2024,1
01/01/2024 07:00,40,3.29,56,23.69999,31,10,2,,22.62,,,1,2024,1
01/01/2024 08:00,40,6,56,20,19.89999,10,2,,25.04,,,1,2024,1
01/01/2024 09:00,30,6,36,19,21.1,10,2,,26.24,,,1,2024,1
01/01/2024 10:00,18,6,36,19.89999,17.3,10,2,,32.21,,,1,2024,1
01/01/2024 11:00,18,1.33,32,19,16.5,15,2,,41.34,,,1,2024,1
01/01/2024 12:00,30,0,8,19,19.69999,15,3.52,,43.51,,,1,2024,1
01/01/2024 13:00,16,6,1.73,19,22.5,10,3.52,,58.64,,,1,2024,1
01/01/2024 14:00,16,8,1.5,20.8,20,10,3.52,,61.14,,,1,2024,1
01/01/2024 15:00,16,19.8,1.17999,19,20,9,3.52,,60.34,,,1,2024,1
01/01/2024 16:00,16,14.8,1.73,20.5,19.6,9,3.52,,77.56,,,1,2024,1
01/01/2024 17:00,17.39999,14.8,1.73,19,19.19999,9,3.52,,68.4,,,1,2024,1
01/01/2024 18:00,17.39999,14.8,1.73,22.69999,20,10,3.52,,74.16,,,1,2024,1
01/01/2024 19:00,17.39999,8,13,19.3,20,10,3.52,,65.01,,,1,2024,1
01/01/2024 20:00,25,1.91999,25,19,33.79999,10,2,,55.91,,,1,2024,1
01/01/2024 21:00,30,1,32,19.3,35.89999,10,2,,48.15,,,1,2024,1
01/01/2024 22:00,30,1,66,19.8,34.2,10,2,,64.94,,,1,2024,1
01/01/2024 23:00,30,2.89999,66,20.5,24,15,4,,53.6,,,1,2024,1
02/01/2024 00:00,35,1.6,66,0,0,15,4,,43.99,,,1,2024,2
02/01/2024 01:00,35,1.73,66,0,0,15,4,,55.5,,,1,2024,2
02/01/2024 02:00,40,1,13.5,0,0,15,4,,49.94,,,1,2024,2
02/01/2024 03:00,30,1.6,8.5,0,0,15,4,,47.26,,,1,2024,2
02/01/2024 04:00,50,1.91999,8,28.3,29,15,4,,53.5,,,1,2024,2
02/01/2024 05:00,30,3.89999,8,37.79999,28.8,14.3,4,,76.48,,,1,2024,2
02/01/2024 06:00,15,3.89999,8,46,31,8.8,4,,180.05,,,1,2024,2
02/01/2024 07:00,15,3.89999,8,49,26.69999,8.8,4,,250.01,,,1,2024,2
02/01/2024 08:00,15,3.89999,8,49,17.3,11,4,,483.08,,,1,2024,2
02/01/2024 09:00,15,3.89999,7,49,19,11,4,,300.07,,,1,2024,2
02/01/2024 10:00,15,3.89999,7,49,19,11,4,,250.01,,,1,2024,2
02/01/2024 11:00,12.4,3.89999,7.5,49,21.89999,11,4,,241.94,,,1,2024,2
02/01/2024 12:00,12.4,3.89999,7,60,21.69999,11,4,,159.47,,,1,2024,2
02/01/2024 13:00,12.4,1.47,2.49,49,22.19999,11,4,,149.99,,,1,2024,2
02/01/2024 14:00,12.4,8,1.73,49,18.8,11,4,,149.99,,,1,2024,2
02/01/2024 15:00,15,9.8,1.73,60,19,11,4,,165.8,,,1,2024,2
02/01/2024 16:00,15,11,1.73,49,13,11,4,,250.02,,,1,2024,2
02/01/2024 17:00,15,14.8,1.73,24,17.39999,11,4,,226.21,,,1,2024,2
02/01/2024 18:00,15,14.8,1.73,44.39999,22.5,11,4,,196.9,,,1,2024,2
02/01/2024 19:00,22.5,8,5,21.8,21,13.19999,4,,250.01,,,1,2024,2
02/01/2024 20:00,16,1.91999,5,21.8,28,13.19999,4,,196.91,,,1,2024,2
02/01/2024 21:00,15,1,8,30.69999,27.3,18.69999,4,,105.7,,,1,2024,2
02/01/2024 22:00,15,4.29999,36,21.8,30,24.19999,4,,149.52,,,1,2024,2
02/01/2024 23:00,30,0.92,56,18.14999,16,36.29999,4,,90.38,,,1,2024,2
03/01/2024 00:00,30,0.92,66,0,0,36.29999,4,,86.69,,,1,2024,3
03/01/2024 01:00,40,0.9,66,0,0,36.29999,4,,49.08,,,1,2024,3
03/01/2024 02:00,40,0.9,36,0,0,36.29999,4,,56.76,,,1,2024,3
03/01/2024 03:00,18,1.3,13,0,0,36.29999,4,,56.11,,,1,2024,3
03/01/2024 04:00,18,1.7,12,40,25,36.29999,4,,57.96,,,1,2024,3
03/01/2024 05:00,18,3,8,50.6,25,22,4,,70.17,,,1,2024,3
03/01/2024 06:00,12.4,5,8,83,23,13.19999,4,,86.7,,,1,2024,3
03/01/2024 07:00,12.4,5,8,83,19.8,13.19999,4,,118.79,,,1,2024,3
03/01/2024 08:00,12.4,3.89999,8,52,19,13.19999,4,,131.51,,,1,2024,3
03/01/2024 09:00,12.4,5,8,50,18.19999,13.19999,4,,132.95,,,1,2024,3
03/01/2024 10:00,12.4,3.89999,8,50,17.8,13.19999,7,,128.81,,,1,2024,3
03/01/2024 11:00,12.4,3.89999,8,52,16,13.19999,4,,98.93,,,1,2024,3
03/01/2024 12:00,10.19999,3.89999,8,50,17.6,13.19999,7,,129.91,,,1,2024,3
03/01/2024 13:00,10,0.92,3.1,50,16,13.19999,7,,118.79,,,1,2024,3
03/01/2024 14:00,12.4,2.89999,2.45,52,16.6,13.19999,7,,97.05,,,1,2024,3
03/01/2024 15:00,12.4,9.8,2.45,50,16.1,13.19999,7,,96.19,,,1,2024,3
03/01/2024 16:00,12.4,8,2.45,50,15.4,13.19999,4,,119.02,,,1,2024,3
03/01/2024 17:00,12.4,3.89999,2.45,52,15,13.19999,4,,129.91,,,1,2024,3
03/01/2024 18:00,12.4,3,2.45,30,17.39999,14.3,4,,147.62,,,1,2024,3
03/01/2024 19:00,9.3,2.75,5,30,17.5,15.4,4,,118.8,,,1,2024,3
03/01/2024 20:00,17.5,1.52,8,52,25,15.4,4,,99.12,,,1,2024,3
03/01/2024 21:00,13,0.92,13.5,27.5,23.6,23.1,4,,85.82,,,1,2024,3
03/01/2024 22:00,17.5,4,13,25,24.19999,30.8,4,,99.95,,,1,2024,3
03/01/2024 23:00,19.3,3.29,20,19.5,20.6,34.1,4,,86.97,,,1,2024,3
04/01/2024 00:00,20.3,2.25,25,0,0,34.1,4,,58.4,,,1,2024,4
04/01/2024 01:00,23.5,3.29,25,0,0,34.1,4,,129.25,,,1,2024,4
04/01/2024 02:00,24.19999,3,14.19999,0,0,34.1,4,,106.34,,,1,2024,4
04/01/2024 03:00,17.5,2.25,13,0,0,34.1,4,,94.42,,,1,2024,4
04/01/2024 04:00,20.5,1,11,35,28.19999,34.1,4,,97.79,,,1,2024,4
04/01/2024 05:00,20.5,3,8,61.6,25,19.8,4,,121.44,,,1,2024,4
04/01/2024 06:00,14.5,3,8,80,24.6,13.19999,4,,180.21,,,1,2024,4
04/01/2024 07:00,17.5,3,8,106,19,13.19999,7,,300,,,1,2024,4
04/01/2024 08:00,12.4,3,8,72,16,13.19999,4,,379.25,,,1,2024,4
04/01/2024 09:00,12.4,3,8,72,18,13.19999,4,,299.99,,,1,2024,4
04/01/2024 10:00,12.4,3,8,50,17.6,13.19999,4,,300,,,1,2024,4
04/01/2024 11:00,12.4,3,8,72,19,13.19999,4,,300.07,,,1,2024,4
04/01/2024 12:00,12.4,3,8,50,17.19999,13.19999,4,,300,,,1,2024,4
04/01/2024 13:00,12.4,1,3.12,52,16,12.1,7,,299.99,,,1,2024,4
04/01/2024 14:00,12.4,8,2.56999,72,16.5,12.1,7,,296.18,,,1,2024,4
04/01/2024 15:00,12.4,8,2.56999,73,13,12.1,3.52,,299.99,,,1,2024,4
04/01/2024 16:00,12.4,8,2.56999,50,13.71,12.1,3.52,,362.14,,,1,2024,4
04/01/2024 17:00,12.4,8,2.56999,72,13.61999,11,3.52,,300,,,1,2024,4
04/01/2024 18:00,12.4,7,2.66999,50,13.18,12.1,7,,299.99,,,1,2024,4
04/01/2024 19:00,12.4,2.25,5,35,13,14.3,4,,249.96,,,1,2024,4
04/01/2024 20:00,11.4,0.9,5,27.39999,19,18.69999,4,,203.72,,,1,2024,4
04/01/2024 21:00,10.4,2,13,21,17,18.69999,4,,149.99,,,1,2024,4
04/01/2024 22:00,17.5,1.52,11.19999,20,22,26.39999,4,,150,,,1,2024,4
04/01/2024 23:00,39.07,0.9,12,28.1,20,36.29999,7,,143.09,,,1,2024,4
05/01/2024 00:00,39.07,6,13,0,0,36.29999,7,,111.11,,,1,2024,5
05/01/2024 01:00,39.07,2.22,13,0,0,36.29999,7,,169.99,,,1,2024,5
05/01/2024 02:00,39.07,6,13,0,0,36.29999,7,,150.07,,,1,2024,5
05/01/2024 03:00,39.07,6,11.5,0,0,36.29999,7,,150.06,,,1,2024,5
05/01/2024 04:00,49.61999,6,8,32.2,22,36.29999,7,,150.07,,,1,2024,5
05/01/2024 05:00,23.3,75,5.5,60,16.5,22,7,,150.09,,,1,2024,5
05/01/2024 06:00,23.3,50,5.5,143.69999,18,13.19999,7,,350,,,1,2024,5
05/01/2024 07:00,21.19999,14.8,5.5,218.5,19,13.19999,7,,999.94,,,1,2024,5
05/01/2024 08:00,29.6,14.8,5.5,70,17.3,13.19999,7,,1478.91,,,1,2024,5
05/01/2024 09:00,31.69999,14.8,5.5,120,17,13.19999,7,,1251.67,,,1,2024,5
05/01/2024 10:00,31.69999,14.8,5,110,17.39999,14.3,7,,1000,,,1,2024,5
05/01/2024 11:00,35.89999,14.8,5,116,15.21,15.4,7,,999.98,,,1,2024,5
05/01/2024 12:00,35.89999,14.8,5.5,120,15.21,16.5,7,,800,,,1,2024,5
05/01/2024 13:00,33.79999,19.8,3,120,15.21,16.5,7,,999.91,,,1,2024,5
05/01/2024 14:00,38,300,2.68,120,16.87,15.4,7,,899.06,,,1,2024,5
05/01/2024 15:00,40.1,300,2.68,221.59999,18,16.5,7,,999.97,,,1,2024,5
05/01/2024 16:00,40.1,300,2.68,124,18,16.5,7,,1696.31,,,1,2024,5
05/01/2024 17:00,40.1,300,2.68,120,16.89999,17.6,7,,1758,,,1,2024,5
05/01/2024 18:00,31.69999,300,2.68,70,16,17.6,7,,1478.95,,,1,2024,5
05/01/2024 19:00,49.61999,6,5,40,17.1,19.8,7,,1896,,,1,2024,5
05/01/2024 20:00,44.85999,8,5,62.89999,18.94999,31.89999,7,,1754,,,1,2024,5
05/01/2024 21:00,44.85999,1.67999,9.5,40,16.8,31.89999,7,,990.09,,,1,2024,5
05/01/2024 22:00,45.57,6,11,33.2,16,39.6,7,,749.95,,,1,2024,5
05/01/2024 23:00,23.3,6,13,53.79999,15,42.89999,10.77999,,300.01,,,1,2024,5
06/01/2024 00:00,23.3,6,13,0,0,42.89999,4,,200,,,1,2024,6
06/01/2024 01:00,23.3,6,13,0,0,42.89999,4,,111.19,,,1,2024,6
06/01/2024 02:00,23.3,6,13,0,0,42.89999,4,,113.98,,,1,2024,6
06/01/2024 03:00,23.3,6,13,0,0,42.89999,4,,110.62,,,1,2024,6
06/01/2024 04:00,29.6,6,12.19999,80.9,12,42.89999,4,,113.51,,,1,2024,6
06/01/2024 05:00,29.6,6,11,79.4,12.9,36,4,,141.69,,,1,2024,6
06/01/2024 06:00,29.6,6,11,118,13.69999,15.4,4,,156.85,,,1,2024,6
06/01/2024 07:00,29.6,6,8,200.59999,15,15.4,4,,132.92,,,1,2024,6
06/01/2024 08:00,17.39999,6,8,123.9,15.5,15.4,4,,147.75,,,1,2024,6
06/01/2024 09:00,12.4,1,8,150,14.1,15.4,4,,181.87,,,1,2024,6
06/01/2024 10:00,17.39999,6,8,150,13.92,15.4,4,,184,,,1,2024,6
06/01/2024 11:00,19.1,6,8,129.09999,13.5,15.4,4,,176.37,,,1,2024,6
06/01/2024 12:00,18,6,5.59999,128.69999,13.11999,15.4,4,,176.81,,,1,2024,6
06/01/2024 13:00,18,2.52999,2.64,134.9,13.21,15.4,3.52,,178.09,,,1,2024,6
06/01/2024 14:00,19.1,37.39999,1.98,150,13.9,15.4,3.52,,161.34,,,1,2024,6
06/01/2024 15:00,19.1,490,1.98,231.09999,14.35999,15.4,3.52,,184,,,1,2024,6
06/01/2024 16:00,19.1,490,1.98,256.1,15,15.4,3.52,,200,,,1,2024,6
06/01/2024 17:00,19.1,50.7,1.98,226.8,15,15.4,3.52,,299.99,,,1,2024,6
06/01/2024 18:00,19.1,37.89999,2.64,136,15,15.4,3.52,,244.45,,,1,2024,6
06/01/2024 19:00,18,3,5,119.7,14.1,17.6,4,,200,,,1,2024,6
06/01/2024 20:00,17.39999,1,5,130.19999,13.4,27.5,4,,179.78,,,1,2024,6
06/01/2024 21:00,17.39999,6,8,122.3,12.5,27.5,4,,164.51,,,1,2024,6
06/01/2024 22:00,18,6,11,101.2,12,39.6,4,,176.17,,,1,2024,6
06/01/2024 23:00,25,6,13,39,15,36.29999,12.32,,159.15,,,1,2024,6
07/01/2024 00:00,9,6,13,0,0,36.29999,14.88,,120.76,,,1,2024,7
07/01/2024 01:00,9,6,17,0,0,34.1,12.32,,93.71,,,1,2024,7
07/01/2024 02:00,9.69999,6,17,0,0,34.1,12.32,,128.69,,,1,2024,7
07/01/2024 03:00,9.69999,6,13,0,0,34.1,12.32,,104,,,1,2024,7
07/01/2024 04:00,8.23,2,13,30,16,34.1,13.85999,,93.2,,,1,2024,7
07/01/2024 05:00,9.3,6,11.9,30,16.5,19.8,17.37999,,93.19,,,1,2024,7
07/01/2024 06:00,12.4,6,8.19999,35,17,12.1,4,,93.19,,,1,2024,7
07/01/2024 07:00,12.4,6,8,32.6,16.5,11,4,,84.99,,,1,2024,7
07/01/2024 08:00,12.4,6,8,35,16,11,4,,96.89,,,1,2024,7
07/01/2024 09:00,17.39999,6,8,38.79999,16,11,4,,93.2,,,1,2024,7
07/01/2024 10:00,12.4,6,8,41.1,16,11,4,,118.35,,,1,2024,7
07/01/2024 11:00,11.9,6,8,35,16,10,4,,97.53,,,1,2024,7
07/01/2024 12:00,11.9,6,8,35,16,9.9,4,,93.19,,,1,2024,7
07/01/2024 13:00,30,2,2.64,35,16,9.9,4,,91.5,,,1,2024,7
07/01/2024 14:00,30,2,1.98,35,15,8.8,4,,87.52,,,1,2024,7
07/01/2024 15:00,17.39999,8,1.98,30,16,8.8,21.55999,,87.23,,,1,2024,7
07/01/2024 16:00,12.4,8,1.98,33,17.6,7.5,20.02,,90.64,,,1,2024,7
07/01/2024 17:00,15,8,1.98,30,17.6,7.5,20.02,,96.21,,,1,2024,7
07/01/2024 18:00,30,3,2.64,30,16,7.5,18.92,,104.27,,,1,2024,7
07/01/2024 19:00,30,4.4,7.4,30,15.5,7.5,17.16,,106.09,,,1,2024,7
07/01/2024 20:00,30,1.62,11.9,30,15,7,16.27,,103.55,,,1,2024,7
07/01/2024 21:00,30,0.86,13,33,15,7.5,15.61999,,87.86,,,1,2024,7
07/01/2024 22:00,30,0.86,32,30,15,15,14.96,,93.31,,,1,2024,7
07/01/2024 23:00,30,0.86,25,35,13.71,20,15.4,,86.42,,,1,2024,7
08/01/2024 00:00,30,6,32,0,0,20.89999,15.4,,62.66,,,1,2024,8
08/01/2024 01:00,30,6,25,0,0,20,15,,79.94,,,1,2024,8
08/01/2024 02:00,30,6,25,0,0,15,15.4,,81.39,,,1,2024,8
08/01/2024 03:00,30,6,9,0,0,15,15.4,,81.82,,,1,2024,8
08/01/2024 04:00,9.59999,6,8,44.1,17.69999,15,13.85999,,79.11,,,1,2024,8
08/01/2024 05:00,11.19999,6,8,74.59999,19,14.3,18.92,,78.48,,,1,2024,8
08/01/2024 06:00,16,6,8,101.59999,22,8.8,18.69999,,82.1,,,1,2024,8
08/01/2024 07:00,31.09,6,8,120,22,10,20.39999,,94.3,,,1,2024,8
08/01/2024 08:00,18,6,8,94.59999,16,11,20.39999,,111.22,,,1,2024,8
08/01/2024 09:00,16,6,8,101.59999,16,12.1,18.69999,,121.11,,,1,2024,8
08/01/2024 10:00,18,6,8.19999,100.59999,15.48,12.1,18.69999,,120.73,,,1,2024,8
08/01/2024 11:00,18,6,7.7,99.29999,17.5,12.1,18.69999,,113.9,,,1,2024,8
08/01/2024 12:00,18,6,5.5,93.59999,19,12.1,18.69999,,139.05,,,1,2024,8
08/01/2024 13:00,18,6,2,85.4,18,12.1,17.16,,161.05,,,1,2024,8
08/01/2024 14:00,22.39999,8,1.98,98.5,17,13.19999,14.24,,137.91,,,1,2024,8
08/01/2024 15:00,50.10999,8,1.98,120,17,12.1,15.3,,167.2,,,1,2024,8
08/01/2024 16:00,22.39999,27,1.98,118.09999,19,12.1,14.08,,162.52,,,1,2024,8
08/01/2024 17:00,22.39999,27,1.98,88.09999,18,12.1,14.08,,129.93,,,1,2024,8
08/01/2024 18:00,12.4,8,2.64,70,21.39999,10,15,,132.31,,,1,2024,8
08/01/2024 19:00,18,8,4.66999,50,28.3,10,14.08,,130.01,,,1,2024,8
08/01/2024 20:00,48.03999,2,25,83.79999,38.29999,10,14.08,,122.12,,,1,2024,8
08/01/2024 21:00,30,2,32,50,31,7.5,14.08,,114.21,,,1,2024,8
08/01/2024 22:00,30,2,46,33,31,13.69999,11.88,,99.85,,,1,2024,8
08/01/2024 23:00,60,1.16999,56,25.1,25,7,10.77999,,81.5,,,1,2024,8
09/01/2024 00:00,60,1.16999,85,0,0,7,10.77999,,49.99,,,1,2024,9
09/01/2024 01:00,60,1.16999,66,0,0,7,10.77999,,27.71,,,1,2024,9
09/01/2024 02:00,60,1.16999,66,0,0,6.5,10.77999,,26.73,,,1,2024,9
09/01/2024 03:00,70,1.16999,85,0,0,6.5,10.77999,,26.33,,,1,2024,9
09/01/2024 04:00,70,1.16999,56,35,33,6.5,12.32,,26.27,,,1,2024,9
09/01/2024 05:00,60,1.16999,32,40.6,34.29999,6.5,15,,26.88,,,1,2024,9
09/01/2024 06:00,60,1,17,45.29999,34.89999,6.09999,15,,38,,,1,2024,9
09/01/2024 07:00,60,6,17,50.7,40,6.5,15,,69.58,,,1,2024,9
09/01/2024 08:00,60,6,14.8,41,26,6.5,15,,80.72,,,1,2024,9
09/01/2024 09:00,60,6,17,35,26.89999,6.5,15,,75.43,,,1,2024,9
09/01/2024 10:00,60,1,14.8,35,20.6,6.5,15,,74.5,,,1,2024,9
09/01/2024 11:00,60,1.16999,13,30,20.6,6.5,15,,81.26,,,1,2024,9
09/01/2024 12:00,60,6,13,30,20.6,6.5,15,,74.73,,,1,2024,9
09/01/2024 13:00,60,2.1,2.43,30,20.6,6.5,15,,71.4,,,1,2024,9
09/01/2024 14:00,60,16.19999,1.97,32.89999,17,6.5,15,,79.16,,,1,2024,9
09/01/2024 15:00,60,31.1,1.97,35.39999,17,6.5,15,,84.88,,,1,2024,9
09/01/2024 16:00,60,27,1.97,69.9,20.6,7,15,,90.11,,,1,2024,9
09/01/2024 17:00,60,27,1.97,49.6,15,7,15,,78.03,,,1,2024,9
09/01/2024 18:00,60,14.8,2.43,46.39999,17,7,15,,94.99,,,1,2024,9
09/01/2024 19:00,60,9.8,8,31.5,17,7,15,,133.53,,,1,2024,9
09/01/2024 20:00,60,8,36,25,19,7.5,15,,126.38,,,1,2024,9
09/01/2024 21:00,60,8,36,25,25,7.5,15,,116.51,,,1,2024,9
09/01/2024 22:00,60,3,36,25,22,15,13.88,,99.96,,,1,2024,9
09/01/2024 23:00,60,0.7,36,25,17,16.5,15.4,,89.98,,,1,2024,9
10/01/2024 00:00,70,6,36,0,0,20,13.9,,50.92,,,1,2024,10
10/01/2024 01:00,60,6,32,0,0,18.69999,15.4,,37.99,,,1,2024,10
10/01/2024 02:00,60,6,8,0,0,16.5,15.4,,34.6,,,1,2024,10
10/01/2024 03:00,70,6,8,0,0,15,15.4,,27.99,,,1,2024,10
10/01/2024 04:00,60,5,8,35,34.7,16.5,15.4,,27.4,,,1,2024,10
10/01/2024 05:00,60,6,9.2,43.7,19,12.1,18.69999,,32.11,,,1,2024,10
10/01/2024 06:00,50,6,13,81.7,20,9.9,17.16,,80,,,1,2024,10
10/01/2024 07:00,50,6,32,80.09999,20,7.7,18.69999,,82.74,,,1,2024,10
10/01/2024 08:00,50,6,32,42,20,7.7,18.69999,,96.89,,,1,2024,10
10/01/2024 09:00,50,6,36,58.29999,16.3,7.5,17.16,,100.03,,,1,2024,10
10/01/2024 10:00,60,5,32,58.6,20,7,17.16,,79.98,,,1,2024,10
10/01/2024 11:00,60,5,25,62.79999,17,6.5,18.69999,,50.07,,,1,2024,10
10/01/2024 12:00,60,5,17,49.39999,16,6.5,17.16,,36.9,,,1,2024,10
10/01/2024 13:00,70,8,13,46,20,6.5,17.16,,32.98,,,1,2024,10
10/01/2024 14:00,70,29,8,51.5,18.89999,6.5,17.16,,27.8,,,1,2024,10
10/01/2024 15:00,70,64,8,50.89999,20,6.5,17.16,,27.43,,,1,2024,10
10/01/2024 16:00,80,47,25,70,20,6.5,18.69999,,26.87,,,1,2024,10
10/01/2024 17:00,70,27,36,55.89999,22.69999,6.5,18.69999,,26.32,,,1,2024,10
10/01/2024 18:00,80,14.8,46,43.2,21,6.5,18.69999,,26.54,,,1,2024,10
10/01/2024 19:00,90,29,66,55.2,20,6.5,17.16,,25.94,,,1,2024,10
10/01/2024 20:00,99,6,66,53.1,26,6.5,17.16,,25.39,,,1,2024,10
10/01/2024 21:00,105,8,112,30,27.6,6.5,13.86,,25.09,,,1,2024,10
10/01/2024 22:00,105,1.67999,66,25,43.5,6.5,13.86,,25.32,,,1,2024,10
10/01/2024 23:00,90,1.42999,66,26.5,43.89999,6.5,13.86,,24.43,,,1,2024,10
11/01/2024 00:00,105,1.42999,66,0,0,7,13.86,,21.5,,,1,2024,11
11/01/2024 01:00,90,1.39999,66,0,0,7,13.86,,21.09,,,1,2024,11
11/01/2024 02:00,105,1.39999,85,0,0,7.5,13.86,,21.85,,,1,2024,11
11/01/2024 03:00,90,1.2,66,0,0,7.5,15.62,,24.39,,,1,2024,11
11/01/2024 04:00,80,1.2,66,34.79999,30,7,17.16,,27.01,,,1,2024,11
11/01/2024 05:00,150,1,36,42.6,30,7,17.16,,28.77,,,1,2024,11
11/01/2024 06:00,80,1.6,11.2,68,20.5,7.5,17.16,,34.36,,,1,2024,11
11/01/2024 07:00,25.89999,6,8.5,70,20.8,7.7,15.62,,41.94,,,1,2024,11
11/01/2024 08:00,50,6,10,62.6,20.5,9.9,15.62,,53.51,,,1,2024,11
11/01/2024 09:00,50,6,8.8,54.6,21,10,15.62,,69.38,,,1,2024,11
11/01/2024 10:00,50,6,8,43.6,24.3,11,17.16,,89.57,,,1,2024,11
11/01/2024 11:00,17.69999,6,4.9,40.29999,22,13.2,17.16,,110.01,,,1,2024,11
11/01/2024 12:00,16,6,4.5,41,17.19999,13.2,15.62,,103.29,,,1,2024,11
11/01/2024 13:00,18,3,3.9,35,20,13.2,15.62,,96.3,,,1,2024,11
11/01/2024 14:00,18,27,1.9,38.89999,20,13.2,15.62,,99,,,1,2024,11
11/01/2024 15:00,18.1,170,3,42.79999,17.89999,13.2,15.62,,105.98,,,1,2024,11
11/01/2024 16:00,16,272.5,3.67,52.39999,20.5,13.2,15.62,,124.1,,,1,2024,11
11/01/2024 17:00,16,240,5,58.6,19.3,15.88,15.62,,141.86,,,1,2024,11
11/01/2024 18:00,17.39999,27,5,70,19.5,20.9,15.62,,155,,,1,2024,11
11/01/2024 19:00,17,14.8,8,42.89999,19.39999,20.9,15.62,,200,,,1,2024,11
11/01/2024 20:00,16,1.52,36,35,24.1,27.5,13.42,,145.44,,,1,2024,11
11/01/2024 21:00,18,1.2,46,25,25,23.1,7,,123.51,,,1,2024,11
11/01/2024 22:00,50,0.94,46,25,20,23.1,5,,108.2,,,1,2024,11
11/01/2024 23:00,26.8,6,46,31,21.89999,23.1,7,,100,,,1,2024,11
12/01/2024 00:00,50,6,46,0,0,23.1,5,,96.97,,,1,2024,12
12/01/2024 01:00,40,6,25,0,0,20.9,7,,90.94,,,1,2024,12
12/01/2024 02:00,40,6,17,0,0,20.9,7,,88.13,,,1,2024,12
12/01/2024 03:00,40,4,13,0,0,13.2,5,,86.3,,,1,2024,12
12/01/2024 04:00,36.29999,4,11,30.8,30,11,5,,86.85,,,1,2024,12
12/01/2024 05:00,18,5,11,44,27,11,9,,92.24,,,1,2024,12
12/01/2024 06:00,18,5,8,40,24.89999,12.1,21.12,,103.41,,,1,2024,12
12/01/2024 07:00,17.39999,5,8,44,19.89999,12.1,19.58,,124.5,,,1,2024,12
12/01/2024 08:00,17.39999,5,8,24,15,12.1,19.58,,137.15,,,1,2024,12
12/01/2024 09:00,17.39999,5,8,24,15,13.2,19.58,,140.74,,,1,2024,12
12/01/2024 10:00,17.39999,5,11,24,15,13.2,19.58,,134.96,,,1,2024,12
12/01/2024 11:00,16,5,4.5,24,15,14.3,19.58,,150.03,,,1,2024,12
12/01/2024 12:00,17.39999,5,2.39,24,15,13.2,5,,136.48,,,1,2024,12
12/01/2024 13:00,17.39999,8,2.39,24,15,13.2,5,,124.57,,,1,2024,12
12/01/2024 14:00,17.39999,29.8,1.9,26,15,12.1,5,,124.32,,,1,2024,12
12/01/2024 15:00,18,66.4,2,24,15,11,5,,150.51,,,1,2024,12
12/01/2024 16:00,18,89.29999,2.39,26,15,11,5,,203,,,1,2024,12
12/01/2024 17:00,18,70.29999,5,29,15,13.2,14.08,,299.02,,,1,2024,12
12/01/2024 18:00,17.39999,8,7,25,15,16.5,5,,200.01,,,1,2024,12
12/01/2024 19:00,16,8,17,24,15,14.3,5,,155,,,1,2024,12
12/01/2024 20:00,11.36999,1.73,46,24,15,15,5,,122.84,,,1,2024,12
12/01/2024 21:00,40,6,56,25,20,15,6,,108.87,,,1,2024,12
12/01/2024 22:00,40,6,66,24,22.19999,10,6,,98.66,,,1,2024,12
12/01/2024 23:00,40,6,66,24,15,9,6,,93.57,,,1,2024,12
13/01/2024 00:00,40,6,66,0,0,8,6,,80.1,,,1,2024,13
13/01/2024 01:00,40,6,66,0,0,7.5,6,,49.69,,,1,2024,13
13/01/2024 02:00,40,6,56,0,0,7.5,6,,46.63,,,1,2024,13
13/01/2024 03:00,40,6,66,0,0,9,6,,44,,,1,2024,13
13/01/2024 04:00,40,6,56,24,16,7.5,6,,42.47,,,1,2024,13
13/01/2024 05:00,60,6,32,26,17,7.5,6,,42.54,,,1,2024,13
13/01/2024 06:00,33,6,25,29,16,7.7,6,,43.53,,,1,2024,13
13/01/2024 07:00,43,6,19.6,30.6,17,8,6,,45.62,,,1,2024,13
13/01/2024 08:00,45,6,17,25,17.1,8.8,7,,51.2,,,1,2024,13
13/01/2024 09:00,45,6,17,22,18,8.8,7,,57.93,,,1,2024,13
13/01/2024 10:00,45,6,16.6,22,17,9,7,,59.17,,,1,2024,13
13/01/2024 11:00,45,6,5,22,17,9,7,,59.21,,,1,2024,13
13/01/2024 12:00,45,8,4.5,23,16,9.9,7,,58.37,,,1,2024,13
13/01/2024 13:00,45,10,4.5,23,14.19999,9.9,7,,56.2,,,1,2024,13
13/01/2024 14:00,45,12,4,24,15,9.9,7,,56.36,,,1,2024,13
13/01/2024 15:00,45,12,4.33,23,16,9.9,7,,59.17,,,1,2024,13
13/01/2024 16:00,12.4,8,4.5,23,14.9,9.9,7,,68.61,,,1,2024,13
